accuracy_rating,allows_children,allows_events,allows_infants,allows_pets,allows_smoking,amenity_ids,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,guest_overall_satisfaction,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,location_rating,longitude,max_nights,min_nights,monthly_price_factor,name,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,rate_type,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor
10,True,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2020-01-10T14:10:55.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Uusimaa, Finland",Shared apartment near the city center and the sea,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,115,96,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,115,0.99
8,True,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,8,Vanda,,6,8,,False,41476084,False,False,False,Private room,2020-04-01T11:13:29.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Finland",Studio apartment in kallio Close to city center,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,1,60,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,1,0.99
10,False,False,False,False,True,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2019-12-31T13:17:30.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",Cozy home in the true heart of Helsinki,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,84,95,13,Private room in apartment,Private room,private_room,,Private room,5.0,9,84,0.99
10,True,False,True,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,9,10,,False,41476084,False,False,False,Private room,2020-03-10T12:13:47.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Finland","Cozy super central 60m2 family apartment, Netflix",2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,327,96,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,327,0.99
10,False,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2020-02-18T11:42:15.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",SPACIOUS AND SIMPLE IN THE HEART OF HELSINKI 26m2,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,365,93,13,Private room in apartment,Private room,private_room,,Private room,5.0,9,365,0.99
10,True,False,True,False,True,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,9,10,,False,41476084,False,False,False,Private room,2020-01-01T11:47:30.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,9,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Finland","NEW! Seaside marina, Helsinki, tram, sauna!",2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,32,93,13,Private room in apartment,Private room,private_room,,Private room,5.0,9,32,0.99
10,True,False,True,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2020-04-13T13:11:22.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Finland",Central Apartment Helsinki Kallio,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,3,93,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,3,0.99
10,True,False,True,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2020-04-06T11:28:18.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",Beautiful apartment in the Centre Helsinki.,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,1,100,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,1,0.99
10,True,False,True,True,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,9,10,,False,41476084,False,False,False,Private room,2020-02-02T12:16:58.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",A room with a view,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,162,98,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,162,0.99
9,False,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,9,9,,False,41476084,False,False,False,Private room,2020-03-10T13:19:04.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsinki, Uusimaa, Finland",№11· Hostel INNTOURIST in the CENTER of Helsinki,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,2,80,13,Private room in apartment,Private room,private_room,,Private room,5.0,9,2,0.99
8,True,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,9,10,,False,41476084,False,False,False,Private room,2020-03-09T14:52:35.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,9,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",Clean Room w/balcony near City Center & Kallio,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,6,87,13,Private room in apartment,Private room,private_room,,Private room,5.0,8,6,0.99
10,True,False,False,False,False,"[64, 1, 2, 66, 4, 70, 8, 74, 75, 77, 15, 21, 85, 86, 23, 87, 89, 91, 92, 93, 30, 94, 95, 96, 33, 34, 98, 35, 611, 100, 103, 104, 40, 41, 44, 45, 46, 625, 114, 627, 60, 61, 62, 63]",4.85,1.5,1 bedroom,1,1,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10,Vanda,,10,10,,False,41476084,False,False,False,Private room,2020-04-09T11:22:51.000Z,60.26403,https://www.airbnb.com/api/v2/pdp_listing_details/41476084?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Vanda,,10,24.87235,1125,1,0.95,Home away from Home,,"Helsingfors, Finland",Compact Wonder Studio *10minToCentre *25minToAirpt,2,10,"Wifi,Kitchen,Heating",,$28,1,nightly,False,,None,16,96,13,Private room in apartment,Private room,private_room,,Private room,5.0,10,16,0.99
10,True,False,True,False,False,"[64, 1, 66, 3, 132, 4, 71, 8, 72, 10, 75, 11, 77, 21, 85, 86, 87, 89, 90, 91, 92, 93, 30, 94, 31, 95, 96, 33, 35, 611, 100, 36, 104, 40, 41, 43, 44, 45, 46, 47, 627, 51, 54]",4.75,1.0,Studio,0,3,True,CANCEL_FLEXIBLE,10,Helsinki,,10,10,,False,4459868,False,False,False,Entire apartment,2020-02-23T13:07:24.000Z,60.17858,https://www.airbnb.com/api/v2/pdp_listing_details/4459868?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Helsinki,Kruununhaka,9,24.95323,1125,1,0.8,Cosy Helsinki Inner City Apartment,Kruununhaka,"Vanda, Finland",Home away from Home,4,22,"Wifi,Kitchen,Heating",,$95,1,nightly,False,,None,13,97,603,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,10,13,0.9
10,False,False,False,True,False,"[64, 1, 66, 3, 132, 4, 71, 8, 72, 10, 75, 11, 77, 21, 85, 86, 87, 89, 90, 91, 92, 93, 30, 94, 31, 95, 96, 33, 35, 611, 100, 36, 104, 40, 41, 43, 44, 45, 46, 47, 627, 51, 54]",4.75,1.0,Studio,0,3,True,CANCEL_FLEXIBLE,10,Helsinki,,10,10,,False,4459868,False,False,False,Entire apartment,2020-02-22T13:47:54.000Z,60.17858,https://www.airbnb.com/api/v2/pdp_listing_details/4459868?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-16&checkout=2020-04-17&adults=1,Helsinki,Kruununhaka,10,24.95323,1125,1,0.8,Cosy Helsinki Inner City Apartment,Kruununhaka,"Helsinki, Finland",A little comfortable room in the center,4,22,"Wifi,Kitchen,Heating",,$95,1,nightly,False,,None,65,98,603,Entire apartment,Entire home/apt,entire_home,,Entire apartment,5.0,10,65,0.9
